squirrel_id,sex,year,observer,cohort,grid,trialnumber,trialdate,taglft,tagrt,colours,walk,jump,hole,hang,chew,groom,still,oft_duration,front,back,attack,attacklatency,approachlatency,mis_duration,collar,comments,mastyear,litter_id,fieldBDate,litter_size,n1_date,n1_weight,n2_date,n2_weight,dam_id,part,julian_trialdate,gridyear,oft1,mis1
6499,M,2005,AKB,2005,SU,1,2005-08-10,47532,47533,NA,191.34,89,38.03,52.74,27.855,4.86,23.4,450,189.33,43.83,26,53.3,52.93,300,NA,NA,1,3319,2005-05-12,3,152,45,2005-06-12,58,6342,132,222,SU 2005,3.580298233842881,1.71720125219076
7087,M,2005,AKB,2005,SU,1,2005-09-22,46753,46754,NA,62.505,45,12.08,199.17,18.09,10.125,32.31,450,58.14,204.51,16,130.43,71.73,300,NA,NA,1,3338,2005-05-20,3,142,13,2005-06-28,79,6760,140,265,SU 2005,0.5156205781708715,-0.12744450492072718
7437,M,2005,AKB,2005,KL,1,2005-08-31,46887,46888,NA,125.325,128,20.03,74.07,0,0,61.065,450,201.18,42.72,14,45.2,11.26,300,NA,NA,1,3267,2005-07-11,4,201,23,2005-08-14,96,6956,192,243,KL 2005,2.7312392253620827,1.7026584406495913
6525,M,2005,AKB,2005,KL,1,2005-09-19,48213,48214,NA,167.76,62,57.08,63.315,14.175,14.085,6.975,450,123.57,104.52,12,47,25.43,300,NA,NA,1,3281,2005-07-20,5,205,15,2005-08-21,73,8576,201,262,KL 2005,3.6450021190512376,0.9847947850629288
7836,F,2005,AKB,2005,KL,1,2005-09-16,48207,48208,NA,139.23,127,27,31.59,0,16.02,15.66,450,192.84,85.74,12,70.3,69.3,300,NA,NA,1,3281,2005-07-20,5,205,13,2005-08-21,72,8576,201,259,KL 2005,3.2842233017460694,1.1276921266512607
7073,M,2005,AKB,2005,SU,1,2005-09-01,46717,46718,NA,201.33,88,29.03,93.33,3.96,2.97,18.54,450,108.21,138.87,6,68.13,15.1,300,NA,NA,1,3341,2005-05-13,3,141,21,2005-06-19,72,6954,133,244,SU 2005,3.0954689461183684,0.6018828307724916
6844,M,2005,AKB,2005,SU,1,2005-09-17,46881,46882,NA,126.405,94,35.03,100.035,51.84,10.845,4.68,450,97.14,57.96,6,24.84,20.94,300,NA,NA,1,3329,2005-07-10,4,193,11,2005-08-12,69,6458,191,260,SU 2005,3.1566662014844034,1.026507325062402
7828,F,2005,AKB,2005,KL,1,2005-08-07,46707,46708,NA,124.695,58,8,123.21,5.22,19.395,38.7,450,72.21,131.55,6,77.93,57.77,300,NA,NA,1,3259,2005-04-25,4,118,13,2005-06-06,76,6538,115,219,KL 2005,1.0434434973467634,0.26971239569955663
6551,M,2005,AKB,2005,SU,1,2005-09-03,-,D6852,NA,153.54,75,27,83.88,0,12.96,37.8,450,28.38,169.32,4,232.64,148.47,300,NA,NA,1,3353,2005-06-24,4,182,19,2005-08-01,90,7553,175,246,SU 2005,2.3523508220363794,-1.0434989146202311
7390,M,2005,AKB,2005,KL,1,2005-08-20,46849,46850,NA,109.8,114,13.05,98.01,55.98,4.86,46.71,450,112.14,148.95,3,184.5,127.8,300,NA,NA,1,3279,2005-06-15,6,166,10,2005-07-23,75,7833,166,232,KL 2005,2.4001471822646825,-0.34254970657869277
6423,M,2005,AKB,2005,KL,1,2005-08-16,46703,46704,NA,65.25,21,3,61.965,0,56.205,168.21,450,121.08,12.9,2,82.13,5.13,300,NA,NA,1,3240,2005-04-25,2,152,NA,2005-06-01,78,6359,115,228,KL 2005,-0.7101633691846857,1.0884328266571432
8733,F,2005,AKB,2005,KL,1,2005-08-31,46889,46890,NA,67.095,38,5,309.33,0,5.31,32.535,450,20.88,227.52,2,50.9,20.1,300,NA,NA,1,3267,2005-07-11,4,201,21,2005-08-14,93,6956,192,243,KL 2005,-0.1580842775459176,-0.21209370529471117
6456,F,2005,AKB,2005,SU,1,2005-08-30,46803,46804,NA,121.5,104,12.98,130.275,0,11.16,36.81,450,0.93,298.38,1,0.86,0.86,300,NA,NA,1,3354,2005-06-04,2,158,12,2005-07-13,65,7584,155,242,SU 2005,1.9627578254188573,-0.36595938826135765
